Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,204191,-,-,-,34.05,-118.26,0,120,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Relative Humidity,Wind Speed
2023,1,1,0,30,13.600000000000001,14,0,14,94.16,4.7
2023,1,1,1,30,13.5,0,0,0,93.8,5
2023,1,1,2,30,13.4,0,0,0,93.60000000000001,5.4
2023,1,1,3,30,13.4,0,0,0,93.49,5.9
2023,1,1,4,30,13.4,0,0,0,94,6.300000000000001
2023,1,1,5,30,13.5,0,0,0,94.23,6.4
2023,1,1,6,30,13.3,0,0,0,95.69,6.2
2023,1,1,7,30,12.8,0,0,0,95.76,5.7
2023,1,1,8,30,12.100000000000001,0,0,0,92.99,5
2023,1,1,9,30,11.8,0,0,0,90.82000000000001,4.2
2023,1,1,10,30,11.5,0,0,0,91.22,3.9000000000000004
2023,1,1,11,30,11.200000000000001,0,0,0,90.61,3.7
2023,1,1,12,30,10.5,0,0,0,91.02,3.5
2023,1,1,13,30,9.600000000000001,0,0,0,91.06,3.2
2023,1,1,14,30,9.600000000000001,0,0,0,87.52,3
2023,1,1,15,30,10.8,31,333,60,83,3.7
2023,1,1,16,30,12.200000000000001,59,664,229,77.88,4.800000000000001
2023,1,1,17,30,13.200000000000001,116,629,364,71.75,5.6000000000000005
2023,1,1,18,30,13.9,169,442,386,65.03,6.300000000000001
2023,1,1,19,30,14.4,292,181,390,59.04,6.7
2023,1,1,20,30,14.600000000000001,180,298,340,56.34,6.800000000000001
2023,1,1,21,30,14.700000000000001,81,25,93,55.26,6.6000000000000005
2023,1,1,22,30,14.4,205,244,298,56.2,6
2023,1,1,23,30,13.100000000000001,65,582,204,61.92,4.800000000000001
2023,1,2,0,30,11.3,29,212,43,73.82000000000001,3.7
2023,1,2,1,30,10.100000000000001,0,0,0,81.42,3.1
2023,1,2,2,30,9.4,0,0,0,85.46000000000001,2.8000000000000003
2023,1,2,3,30,8.8,0,0,0,88.25,2.6
2023,1,2,4,30,8.3,0,0,0,89.92,2.3000000000000003
2023,1,2,5,30,7.800000000000001,0,0,0,91.47,2
2023,1,2,6,30,7.4,0,0,0,92.27,1.8
2023,1,2,7,30,7,0,0,0,92.46000000000001,1.7000000000000002
2023,1,2,8,30,6.7,0,0,0,91.71000000000001,1.7000000000000002
2023,1,2,9,30,6.5,0,0,0,90.95,1.7000000000000002
2023,1,2,10,30,6.4,0,0,0,89.99,1.6
2023,1,2,11,30,6.4,0,0,0,88.42,1.5
2023,1,2,12,30,6.6000000000000005,0,0,0,85.95,1.5
2023,1,2,13,30,6.9,0,0,0,84.64,1.5
2023,1,2,14,30,7.2,0,0,0,83.36,1.6
2023,1,2,15,30,8.200000000000001,31,3,31,79.33,2
2023,1,2,16,30,9.8,128,246,191,74.15,2.1
2023,1,2,17,30,11.5,183,317,308,66.13,1.2000000000000002
2023,1,2,18,30,12.700000000000001,239,80,278,56.88,1
2023,1,2,19,30,13.200000000000001,242,329,420,52.53,1.7000000000000002
2023,1,2,20,30,13.100000000000001,202,15,210,53.42,2.2
2023,1,2,21,30,12.8,124,3,125,56.47,2.2
2023,1,2,22,30,12.3,94,2,95,61.04,1.8
2023,1,2,23,30,11.3,74,7,76,71.61,1.2000000000000002
2023,1,3,0,30,10.5,11,0,11,79.47,0.9
2023,1,3,1,30,9.9,0,0,0,83.14,1
2023,1,3,2,30,9.3,0,0,0,87.84,1.2000000000000002
2023,1,3,3,30,9,0,0,0,91.62,1.6
2023,1,3,4,30,9.3,0,0,0,92.09,2
2023,1,3,5,30,9.8,0,0,0,91.5,2.3000000000000003
2023,1,3,6,30,9.8,0,0,0,91.83,2.3000000000000003
2023,1,3,7,30,9.4,0,0,0,90.36,2
2023,1,3,8,30,9.3,0,0,0,88.46000000000001,1.7000000000000002
2023,1,3,9,30,9.3,0,0,0,89.64,1.4000000000000001
2023,1,3,10,30,9.3,0,0,0,90.53,1.4000000000000001
2023,1,3,11,30,9.4,0,0,0,91.03,1.7000000000000002
2023,1,3,12,30,9.600000000000001,0,0,0,91.39,2.1
2023,1,3,13,30,9.9,0,0,0,91.7,2.4000000000000004
2023,1,3,14,30,10.3,0,0,0,91.41,2.9000000000000004
2023,1,3,15,30,10.9,22,54,27,90.37,3.5
2023,1,3,16,30,11.700000000000001,78,116,108,88.91,3.9000000000000004
2023,1,3,17,30,12.5,127,476,315,87.85000000000001,4
2023,1,3,18,30,13.200000000000001,232,228,344,86.77,4
2023,1,3,19,30,13.700000000000001,263,99,317,86.28,4.1000000000000005
2023,1,3,20,30,14.200000000000001,255,99,308,85.11,4.1000000000000005
2023,1,3,21,30,14.600000000000001,222,32,238,83.98,3.9000000000000004
2023,1,3,22,30,14.600000000000001,151,24,160,85.03,3.3000000000000003
2023,1,3,23,30,14.100000000000001,94,16,98,89.43,2.5
2023,1,4,0,30,13.3,14,0,14,95.41,2
2023,1,4,1,30,12.8,0,0,0,98.14,2.2
2023,1,4,2,30,12.5,0,0,0,99.29,2.3000000000000003
2023,1,4,3,30,12.5,0,0,0,98.43,2.2
2023,1,4,4,30,12.5,0,0,0,97.98,2.2
2023,1,4,5,30,12.600000000000001,0,0,0,96.72,2.3000000000000003
2023,1,4,6,30,12.600000000000001,0,0,0,96.54,2.5
2023,1,4,7,30,12.8,0,0,0,95.66,2.7
2023,1,4,8,30,13,0,0,0,95.59,3
2023,1,4,9,30,13.100000000000001,0,0,0,96.27,3.1
2023,1,4,10,30,13.100000000000001,0,0,0,97.06,2.9000000000000004
2023,1,4,11,30,13,0,0,0,97.83,2.5
2023,1,4,12,30,13,0,0,0,97.53,2.6
2023,1,4,13,30,13,0,0,0,97.52,2.9000000000000004
2023,1,4,14,30,13.3,0,0,0,95.57000000000001,3.3000000000000003
2023,1,4,15,30,14,24,0,24,91.9,4
2023,1,4,16,30,14.700000000000001,61,3,62,90.22,4.6000000000000005
2023,1,4,17,30,15,31,0,31,90.14,4.800000000000001
2023,1,4,18,30,15.100000000000001,60,0,60,90.16,5.1000000000000005
2023,1,4,19,30,15.200000000000001,100,5,103,89.75,5.5
2023,1,4,20,30,15.200000000000001,56,0,56,89.10000000000001,5.6000000000000005
2023,1,4,21,30,14.9,65,0,65,90.06,5.300000000000001
2023,1,4,22,30,14.700000000000001,88,27,98,90.96000000000001,4.800000000000001
2023,1,4,23,30,14.4,59,8,61,92.48,4.2
2023,1,5,0,30,14.100000000000001,19,0,19,93.87,3.8000000000000003
2023,1,5,1,30,13.9,0,0,0,94.41,3.6
2023,1,5,2,30,13.9,0,0,0,94.21000000000001,3.7
2023,1,5,3,30,13.8,0,0,0,94.64,4
2023,1,5,4,30,13.600000000000001,0,0,0,95.2,4.2
2023,1,5,5,30,13.200000000000001,0,0,0,95.09,4.4
2023,1,5,6,30,12.9,0,0,0,94.21000000000001,4.5
2023,1,5,7,30,12.700000000000001,0,0,0,92.59,4.800000000000001
2023,1,5,8,30,12.5,0,0,0,90.66,4.9
2023,1,5,9,30,12.200000000000001,0,0,0,90.84,5.2
2023,1,5,10,30,12.100000000000001,0,0,0,90.95,5.6000000000000005
2023,1,5,11,30,12,0,0,0,91.5,5.300000000000001
2023,1,5,12,30,12,0,0,0,91.79,4.7
2023,1,5,13,30,12.100000000000001,0,0,0,92.22,4.5
2023,1,5,14,30,12.4,0,0,0,92.27,4.6000000000000005
2023,1,5,15,30,13,10,0,10,91.44,4.9
2023,1,5,16,30,13.700000000000001,69,16,73,90.79,5
2023,1,5,17,30,14.3,92,8,95,87.84,5
2023,1,5,18,30,14.9,116,121,176,80.84,4.9
2023,1,5,19,30,15.100000000000001,136,360,332,75.94,4.9
2023,1,5,20,30,15,195,105,252,74.95,5.1000000000000005
2023,1,5,21,30,14.700000000000001,128,625,435,76.29,5
2023,1,5,22,30,14.100000000000001,93,698,365,77.49,4.5
2023,1,5,23,30,13.3,64,478,183,81.53,3.7
2023,1,6,0,30,12.200000000000001,31,243,50,89.83,2.7
2023,1,6,1,30,11.3,0,0,0,95,2.3000000000000003
2023,1,6,2,30,11.100000000000001,0,0,0,96.52,2.3000000000000003
2023,1,6,3,30,10.8,0,0,0,97.79,2.2
