Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,204191,-,-,-,34.05,-118.26,0,120,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Relative Humidity,Wind Speed
2024,1,1,0,30,12.9,21,128,29,80.42,1.1
2024,1,1,1,30,12.4,0,0,0,83.52,1
2024,1,1,2,30,12.4,0,0,0,84.74,0.6000000000000001
2024,1,1,3,30,12.3,0,0,0,85.8,0.4
2024,1,1,4,30,11.9,0,0,0,87.38,0.6000000000000001
2024,1,1,5,30,11.4,0,0,0,88.97,1
2024,1,1,6,30,11,0,0,0,89.5,1.2000000000000002
2024,1,1,7,30,10.8,0,0,0,88.88,1.3
2024,1,1,8,30,10.700000000000001,0,0,0,88.01,1.4000000000000001
2024,1,1,9,30,10.700000000000001,0,0,0,87.07000000000001,1.4000000000000001
2024,1,1,10,30,10.5,0,0,0,87.24,1.5
2024,1,1,11,30,10.3,0,0,0,86.47,1.6
2024,1,1,12,30,10.100000000000001,0,0,0,84.94,1.6
2024,1,1,13,30,10,0,0,0,83.28,1.7000000000000002
2024,1,1,14,30,10.200000000000001,0,0,0,80.65,1.9000000000000001
2024,1,1,15,30,11.700000000000001,19,5,19,73.06,2.4000000000000004
2024,1,1,16,30,14.200000000000001,134,170,177,63.410000000000004,2.9000000000000004
2024,1,1,17,30,16.2,76,773,381,55.29,2.9000000000000004
2024,1,1,18,30,17.400000000000002,77,860,499,49.22,2.5
2024,1,1,19,30,18.2,82,883,558,44.79,1.8
2024,1,1,20,30,18.6,84,878,555,41.94,1.1
2024,1,1,21,30,18.7,81,843,488,41.32,0.6000000000000001
2024,1,1,22,30,18.3,72,775,367,41.76,0.8
2024,1,1,23,30,16.6,56,631,206,47.47,1.3
2024,1,2,0,30,14.5,26,272,44,61.63,1.7000000000000002
2024,1,2,1,30,13.100000000000001,0,0,0,67.87,1.8
2024,1,2,2,30,12.4,0,0,0,73.31,1.8
2024,1,2,3,30,11.8,0,0,0,76.88,1.6
2024,1,2,4,30,11.4,0,0,0,77.7,1.4000000000000001
2024,1,2,5,30,11.200000000000001,0,0,0,76.8,1.3
2024,1,2,6,30,11.100000000000001,0,0,0,75.63,1.2000000000000002
2024,1,2,7,30,10.8,0,0,0,76.29,1.2000000000000002
2024,1,2,8,30,10.5,0,0,0,77.16,1.3
2024,1,2,9,30,10,0,0,0,78.69,1.4000000000000001
2024,1,2,10,30,9.5,0,0,0,79.67,1.6
2024,1,2,11,30,9.200000000000001,0,0,0,79.21000000000001,1.6
2024,1,2,12,30,9,0,0,0,78.49,1.7000000000000002
2024,1,2,13,30,8.9,0,0,0,77.93,1.7000000000000002
2024,1,2,14,30,9.4,0,0,0,74.77,1.6
2024,1,2,15,30,11.4,26,284,51,67.33,1.8
2024,1,2,16,30,14,61,643,225,60.550000000000004,1.7000000000000002
2024,1,2,17,30,16.1,74,789,385,55.44,1.4000000000000001
2024,1,2,18,30,17.5,77,866,503,50.550000000000004,1.5
